"","Number","Activation_name","type","Number_of_inParams","Number_of_outParams"
"1",1,"Out_Identity",1,0,0
"2",2,"Out_Threshold05",1,0,0
"3",3,"Out_Clip_01",1,0,0
"4",4,"Out_Clip_11",1,0,0
"5",5,"Out_ART2_Noise_PLin",1,0,0
"6",6,"Out_ART2_Noise_ContDiff",1,0,0
"7",7,"Act_Logistic",2,0,0
"8",8,"Act_Elliott",2,0,0
"9",9,"Act_BSB",2,0,0
"10",10,"Act_TanH",2,0,0
"11",11,"Act_TanH_Xdiv2",2,0,0
"12",12,"Act_Perceptron",2,0,0
"13",13,"Act_Signum",2,0,0
"14",14,"Act_Signum0",2,0,0
"15",15,"Act_Softmax",2,0,0
"16",16,"Act_StepFunc",2,0,0
"17",17,"Act_HystStep",2,0,0
"18",18,"Act_BAM",2,0,0
"19",19,"Logistic_notInhibit",2,0,0
"20",20,"Act_MinOutPlusWeight",2,0,0
"21",21,"Act_Identity",2,0,0
"22",22,"Act_IdentityPlusBias",2,0,0
"23",23,"Act_LogisticTbl",2,0,0
"24",24,"Act_RBF_Gaussian",2,0,0
"25",25,"Act_RBF_MultiQuadratic",2,0,0
"26",26,"Act_RBF_ThinPlateSpline",2,0,0
"27",27,"Act_less_than_0",2,0,0
"28",28,"Act_at_most_0",2,0,0
"29",29,"Act_at_least_2",2,0,0
"30",30,"Act_at_least_1",2,0,0
"31",31,"Act_exactly_1",2,0,0
"32",32,"Act_Product",2,0,0
"33",33,"Act_ART1_NC",2,0,0
"34",34,"Act_ART2_Identity",2,0,0
"35",35,"Act_ART2_NormP",2,0,0
"36",36,"Act_ART2_NormV",2,0,0
"37",37,"Act_ART2_NormW",2,0,0
"38",38,"Act_ART2_NormIP",2,0,0
"39",39,"Act_ART2_Rec",2,0,0
"40",40,"Act_ART2_Rst",2,0,0
"41",41,"Act_ARTMAP_NCa",2,0,0
"42",42,"Act_ARTMAP_NCb",2,0,0
"43",43,"Act_ARTMAP_DRho",2,0,0
"44",44,"Act_LogSym",2,0,0
"45",45,"Act_CC_Thresh",2,0,0
"46",46,"Act_Sinus",2,0,0
"47",47,"Act_Exponential",2,0,0
"48",48,"Act_TD_Logistic",2,0,0
"49",49,"Act_TD_Elliott",2,0,0
"50",50,"Act_Euclid",2,0,0
"51",51,"Act_Component",2,0,0
"52",52,"Act_RM",2,0,0
"53",53,"Act_TACOMA",2,0,0
"54",54,"Act_Logistic",7,0,0
"55",55,"Act_Elliott",7,0,0
"56",56,"Act_BSB",7,0,0
"57",57,"Act_TanH",7,0,0
"58",58,"Act_TanH_Xdiv2",7,0,0
"59",59,"Act_Perceptron",7,0,0
"60",60,"Act_Signum",7,0,0
"61",61,"Act_Signum0",7,0,0
"62",62,"Act_Softmax",7,0,0
"63",63,"Act_StepFunc",7,0,0
"64",64,"Act_HystStep",7,0,0
"65",65,"Act_BAM",7,0,0
"66",66,"Logistic_notInhibit",7,0,0
"67",67,"Act_MinOutPlusWeight",7,0,0
"68",68,"Act_Identity",7,0,0
"69",69,"Act_IdentityPlusBias",7,0,0
"70",70,"Act_LogisticTbl",7,0,0
"71",71,"Act_RBF_Gaussian",7,0,0
"72",72,"Act_RBF_MultiQuadratic",7,0,0
"73",73,"Act_RBF_ThinPlateSpline",7,0,0
"74",74,"Act_less_than_0",7,0,0
"75",75,"Act_at_most_0",7,0,0
"76",76,"Act_at_least_1",7,0,0
"77",77,"Act_at_least_2",7,0,0
"78",78,"Act_exactly_1",7,0,0
"79",79,"Act_Product",7,0,0
"80",80,"Act_ART1_NC",7,0,0
"81",81,"Act_ART2_Identity",7,0,0
"82",82,"Act_ART2_NormP",7,0,0
"83",83,"Act_ART2_NormV",7,0,0
"84",84,"Act_ART2_NormW",7,0,0
"85",85,"Act_ART2_NormIP",7,0,0
"86",86,"Act_ART2_Rec",7,0,0
"87",87,"Act_ART2_Rst",7,0,0
"88",88,"Act_ARTMAP_NCa",7,0,0
"89",89,"Act_ARTMAP_NCb",7,0,0
"90",90,"Act_ARTMAP_DRho",7,0,0
"91",91,"Act_LogSym",7,0,0
"92",92,"Act_CC_Thresh",7,0,0
"93",93,"Act_Sinus",7,0,0
"94",94,"Act_Exponential",7,0,0
"95",95,"Act_TD_Logistic",7,0,0
"96",96,"Act_TD_Elliott",7,0,0
"97",97,"Act_Euclid",7,0,0
"98",98,"Act_Component",7,0,0
"99",99,"Act_RM",7,0,0
"100",100,"Act_TACOMA",7,0,0
"101",101,"Act_Logistic",9,0,0
"102",102,"Act_Elliott",9,0,0
"103",103,"Act_BSB",9,0,0
"104",104,"Act_TanH",9,0,0
"105",105,"Act_TanHPlusBias",9,0,0
