"","Overall"
"X",0.111875711404077
"X.1",0.114687130753007
"X.2",0.105803548102408
"X.3",0.14726622835613
"X.4",0.118564756303476
"X.5",0.122605362701111
"X.6",0.0909806048191572
"X.7",0.116632722781901
"X.8",0.0954458514625242
"X.9",0.0891722248182551
"X.10",0.100282141815852
"X.11",0.200402027775102
"X.12",0.120055514457757
"X.13",0.120048928725403
"X.14",0.104256981313389
"X.15",0.0979026661031373
"X.16",0.114970829803173
"X.17",0.102557781509247
"X.18",0.105340618073704
"X.19",0.1004660150342
"X.20",0.121153862824002
"X.21",0.0819221047248957
"X.22",0.0951701534695716
"X.23",0.0972853934852194
"X.24",0.153226662265831
"X.25",0.0978165486368684
"X.26",0.12999797529875
"X.27",0.0970737849515948
"X.28",0.0972689966593899
"X.29",0.102294446249835
"X.30",0.129876994116765
"X.31",0.094800551055875
"X.32",0.107967969689616
"X.33",0.101644714081711
"X.34",0.0925432184527151
"X.35",0.0986694532290094
"X.36",0.0849781584718375
"X.37",0.0741648911767914
"X.38",0.0991975935948897
"X.39",0.0808208803095635
"X.40",0.0857350891412901
"X.41",0.0773038196988456
"X.42",0.106069429863137
"X.43",0.102126980855484
"X.44",0.0869820321940044
"X.45",0.113572023219474
"X.46",0.121413133570545
"X.47",0.102746704325585
"X.48",0.139041873142676
"X.49",0.0924126490532751
"X.50",0.108581287361865
"X.51",0.107056208748775
"X.52",0.0830412022208911
"X.53",0.104693810854653
"X.54",0.0759625553495695
"X.55",0.098190413484022
"X.56",0.0762044026056463
"X.57",0.0996800219106545
"X.58",0.0858427454755081
"X.59",0.0938249591343275
"X.60",0.0923364472641297
"X.61",0.0927640909861724
"X.62",0.0968183516714393
"X.63",0.143238366145654
"X.64",0.092888040195532
"X.65",0.0892048202962143
"X.66",0.066200183251396
"X.67",0.0856550107066335
"X.68",0.102942893773752
"X.69",0.100823421923715
"X.70",0.0965534335207934
"X.71",0.128535910102488
"X.72",0.0849272612061816
"X.73",0.0855044871394308
"X.74",0.0719876049741462
"X.75",0.0704392911412674
"X.76",0.0791191994719914
"X.77",0.0759386747091754
"X.78",0.0870564695658959
"X.79",0.0876587313046256
"X.80",0.09953700264184
"X.81",0.120222566922861
"X.82",0.123697584671941
"X.83",0.10371889133473
"X.84",0.0862579132507496
"X.85",0.106951066889464
"X.86",0.144733967487316
"X.87",0.102330048507383
"X.88",0.091600565308765
"X.89",0.0985073940951849
"X.90",0.0984141560983015
"X.91",0.0932222396468145
"X.92",0.103085420792928
"X.93",0.105182012487572
"X.94",0.0801433845511991
"X.95",0.0838140898448171
"X.96",0.0899196392312551
"X.97",0.0812198019145072
"X.98",0.0927923144115738
"X.99",0.102603726124407
"X.100",0.134473294424369
"X.101",0.0808486882856089
"X.102",0.122258929417854
"X.103",0.143877629706917
"X.104",0.0749603563812306
"X.105",0.082839507760699
"X.106",0.0989057136379337
"X.107",0.126012290949723
"X.108",0.0879916727834044
"X.109",0.120267924352754
"X.110",0.157097594997471
"X.111",0.0874099113555211
"X.112",0.071155508473718
"X.113",0.1028727511663
"X.114",0.0667197879879604
"X.115",0.0830862889947612
"X.116",0.0901555269494289
"X.117",0.0989741342133008
"X.118",0.109725311980822
"X.119",0.125316414227254
"X.120",0.0957713648640925
"X.121",0.0963264933073234
"X.122",0.127823518511642
"X.123",0.0956405269959684
"X.124",0.0956347284862714
"X.125",0.0904665099349155
"X.126",0.103061166046439
"X.127",0.0942305100415167
"X.128",0.0887106233824139
"X.129",0.100987572527757
"X.130",0.127587131780485
"X.131",0.104542633027137
"X.132",0.121598647535568
"X.133",0.0952050167254001
"X.134",0.113814998763032
"X.135",0.0954900959945225
"X.136",0.0738819548633046
"X.137",0.0716381972875575
"X.138",0.092742045311149
"X.139",0.0780658783083512
"X.140",0.165174507738261
"X.141",0.0946784682687902
"X.142",0.128005155869777
"X.143",0.116013285845856
"X.144",0.08932192884514
"X.145",0.0990791316496893
"X.146",0.0885026782225046
"X.147",0.0884965437067126
"X.148",0.0934462360569771
"X.149",0.116919941453206
"X.150",0.135619542418141
"X.151",0.0896330088743935
"X.152",0.097320758014644
"X.153",0.0699609304811893
"X.154",0.0866668225957797
"X.155",0.0869702062886686
"X.156",0.0916722872103985
"X.157",0.0750404017440773
"X.158",0.105216921341941
"X.159",0.0960601685655412
"X.160",0.142857528589321
"X.161",0.142319836818934
"X.162",0.0826106792073242
"X.163",0.177072496508468
"X.164",0.123196112167324
"X.165",0.142438138668815
"X.166",0.107687125862867
"X.167",0.0811540854744912
"X.168",0.0721403800677856
"X.169",0.13168067725222
"X.170",0.149238049228357
"X.171",0.179614676802908
"X.172",0.0917635933488205
"X.173",0.0846644265244586
"X.174",0.0883073970993746
"X.175",0.0873872438143638
"X.176",0.0887366284168168
"X.177",0.112690534901263
"X.178",0.0887452205749989
"X.179",0.0997074470674226
"X.180",0.150168815781589
"X.181",0.0744904139436483
"X.182",0.0723820364960749
"X.183",0.0832465111422527
"X.184",0.0896707127635074
"X.185",0.0758084739449524
"X.186",0.134509273447791
"X.187",0.113524047551198
"X.188",0.0951985133382738
"X.189",0.0826149054755676
"X.190",0.111979526286125
"X.191",0.0933089518708053
"X.192",0.0902854767141123
"X.193",0.0780884149134907
"X.194",0.110820606385173
"X.195",0.0878051517148503
"X.196",0.108219739029194
"X.197",0.132566789642653
"X.198",0.0787715107417127
"X.199",0.110030282295441
"X.200",0.150319012614961
"X.201",0.137275521434461
"X.202",0.100237078474479
"X.203",0.107937014212256
"X.204",0.100525420024123
"X.205",0.0916157256232458
"X.206",0.0847681721590379
"X.207",0.0885316577739845
"X.208",0.117257610581444
"X.209",0.0954040788438649
"X.210",0.154072857052617
"X.211",0.124174007833967
"X.212",0.0934682820416157
"X.213",0.108356147239086
"X.214",0.104968836133184
"X.215",0.0969811723026924
"X.216",0.144698749330632
"X.217",0.11674936507334
"X.218",0.125625444854409
"X.219",0.081808273399607
"X.220",0.130631853765738
"X.221",0.101274221846559
"X.222",0.0848741970185339
"X.223",0.108169279360008
"X.224",0.0828852884034869
"X.225",0.120729379210337
"X.226",0.0868113927722088
"X.227",0.0707822325971658
"X.228",0.126637214422804
"X.229",0.0961460778091438
"X.230",0.172070068568154
"X.231",0.0876395642711818
"X.232",0.139076456547577
"X.233",0.117579807666346
"X.234",0.0785879652198277
"X.235",0.0929309950816894
"X.236",0.119302946022576
"X.237",0.0946048261829848
"X.238",0.111846887986446
"X.239",0.100694969742399
"X.240",0.150105492398148
"X.241",0.0937096242420467
"X.242",0.0958587316571071
"X.243",0.112137996421832
"X.244",0.0829450238992733
"X.245",0.112336121241117
"X.246",0.0720608733358531
"X.247",0.0752588993187966
"X.248",0.0637477043701514
"X.249",0.0860324104718103
"X.250",0.122385439914402
"X.251",0.0848400715485172
"X.252",0.10569308648639
